id,first_name,second_name,team
1,Bernd,Leno,1
2,Rúnar Alex,Rúnarsson,1
3,Willian,Borges Da Silva,1
4,Pierre-Emerick,Aubameyang,1
5,Cédric,Soares,1
6,Alexandre,Lacazette,1
7,Granit,Xhaka,1
8,Pablo,Marí,1
9,Héctor,Bellerín,1
10,Calum,Chambers,1
11,Sead,Kolasinac,1
12,Mohamed Naser,El Sayed Elneny,1
13,Ainsley,Maitland-Niles,1
14,Rob,Holding,1
15,Thomas,Partey,1
16,Kieran,Tierney,1
17,Nicolas,Pépé,1
18,Lucas,Torreira,1
20,Edward,Nketiah,1
21,Emile,Smith Rowe,1
22,Bukayo,Saka,1
23,Gabriel,Magalhães,1
24,Konstantinos,Mavropanos,1
25,Mattéo,Guendouzi,1
26,Gabriel Teodoro,Martinelli Silva,1
27,William,Saliba,1
67,Ben,White,1
466,Nuno,Varela Tavares,1
478,Albert,Sambi Lokonga,1
530,Folarin,Balogun,1
531,Reiss,Nelson,1
532,Karl,Hein,1
558,Martin,Ødegaard,1
559,Aaron,Ramsdale,1
572,Arthur,Okonkwo,1
590,Takehiro,Tomiyasu,1
28,Jed,Steer,2
29,Conor,Hourihane,2
30,Emiliano,Martínez,2
31,Björn,Engels,2
32,Bertrand,Traoré,2
34,Morgan,Sanson,2
35,John,McGinn,2
36,Kortney,Hause,2
37,Mahmoud Ahmed,Ibrahim Hassan,2
38,Tyrone,Mings,2
39,Matt,Targett,2
40,Ollie,Watkins,2
41,Marvelous,Nakamba,2
42,Anwar,El Ghazi,2
43,Emiliano,Buendía Stati,2
44,Matthew,Cash,2
45,Ezri,Konsa Ngoyo,2
46,Frédéric,Guilbert,2
47,Wesley,Moraes,2
48,Mbwana Ally,Samatta,2
49,Keinan,Davis,2
50,Douglas Luiz,Soares de Paulo,2
51,Jacob,Ramsey,2
52,Ashley,Young,2
283,Axel,Tuanzebe,2
337,Danny,Ings,2
492,Leon,Bailey,2
496,Aaron,Ramsey,2
497,Jaden,Philogene-Bidace,2
526,Carney,Chukwuemeka,2
568,Cameron,Archer,2
596,Viljami,Sinisalo,2
610,Lamare,Bogarde,2
638,Tim,Iroegbunam,2
650,Filip,Marschall,2
76,Pontus,Jansson,3
77,Christian,Nørgaard,3
78,Ivan,Toney,3
79,Tariqe,Fosu-Henry,3
80,David,Raya Martin,3
81,Sergi,Canós,3
82,Pelenda Joshua,Dasilva,3
83,Rico,Henry,3
84,Vitaly,Janelt,3
85,Saman,Ghoddos,3
86,Mathias,Jensen,3
87,Charlie,Goode,3
88,Marcus,Forss,3
89,Mads,Roerslev Rasmussen,3
90,Mads,Bech Sørensen,3
91,Ethan,Pinnock,3
92,Ellery,Balcombe,3
93,Jan,Zamburek,3
94,Patrik,Gunnarsson,3
95,Halil,Dervişoğlu,3
96,Bryan,Mbeumo,3
97,Mads,Bidstrup,3
479,Frank,Onyeka,3
483,Kristoffer,Ajer,3
498,Dominic,Thompson,3
499,Shandon,Baptiste,3
524,Yoane,Wissa,3
556,Álvaro,Fernández,3
569,Finley,Stevens,3
594,Mathias,Jorgensen,3
614,Paris,Maghoma,3
619,Matthew,Cox,3
628,Maxwell,Haygarth,3
640,Nathan,Young-Coombes,3
53,Adam,Lallana,4
54,Jason,Steele,4
55,Pascal,Groß,4
56,Shane,Duffy,4
57,Davy,Pröpper,4
58,Dan,Burn,4
59,Lewis,Dunk,4
60,Solomon,March,4
61,Adam,Webster,4
62,Joël,Veltman,4
63,Neal,Maupay,4
64,Leandro,Trossard,4
65,Mathew,Ryan,4
66,Alireza,Jahanbakhsh,4
68,Bernardo,Fernandes Da Silva Junior,4
69,Robert,Sánchez,4
70,Yves,Bissouma,4
71,Tariq,Lamptey,4
72,Aaron,Connolly,4
73,Steven,Alzate,4
74,Alexis,Mac Allister,4
75,Jakub,Moder,4
447,Danny,Welbeck,4
462,Enock,Mwepu,4
476,Kjell,Scherpen,4
500,Florin,Andone,4
535,Andi,Zeqiri,4
536,Michal,Karbownik,4
537,Taylor,Richards,4
538,Moisés,Caicedo,4
560,Haydon,Roberts,4
584,Marc,Cucurella,4
595,Jürgen,Locadia,4
612,Jeremy,Sarmiento,4
653,Ed,Turns,4
654,Marc,Leonard,4
655,Evan,Ferguson,4
98,James,Tarkowski,5
99,Phil,Bardsley,5
100,Erik,Pieters,5
101,Jack,Cork,5
102,Dale,Stephens,5
103,Kevin,Long,5
104,Jay,Rodriguez,5
105,Ashley,Barnes,5
106,Ben,Mee,5
107,Ashley,Westwood,5
108,Johann Berg,Gudmundsson,5
109,Chris,Wood,5
110,Matthew,Lowton,5
111,Matej,Vydra,5
112,Nick,Pope,5
113,Charlie,Taylor,5
114,Will,Norris,5
115,Josh,Brownhill,5
116,Josh,Benson,5
117,Bailey,Peacock-Farrell,5
118,Dwight,McNeil,5
451,Nathan,Collins,5
480,Wayne,Hennessey,5
533,Lewis,Richardson,5
534,Bobby,Thomas,5
565,Owen,Dodgson,5
575,Aaron,Lennon,5
578,Maxwel,Cornet,5
585,Connor,Roberts,5
119,César,Azpilicueta,6
120,Olivier,Giroud,6
121,Thiago,Emiliano da Silva,6
122,Marcos,Alonso,6
123,Jorge Luiz,Frello Filho,6
124,Ross,Barkley,6
125,Mateo,Kovacic,6
126,Michy,Batshuayi,6
127,Antonio,Rüdiger,6
129,Kepa,Arrizabalaga,6
130,N'Golo,Kanté,6
131,Hakim,Ziyech,6
132,Ruben,Loftus-Cheek,6
133,Andreas,Christensen,6
134,Timo,Werner,6
135,Benjamin,Chilwell,6
136,Tammy,Abraham,6
137,Christian,Pulisic,6
138,Mason,Mount,6
139,Ethan,Ampadu,6
140,Callum,Hudson-Odoi,6
141,Kai,Havertz,6
142,Reece,James,6
143,Edouard,Mendy,6
501,Malang,Sarr,6
527,Trevoh,Chalobah,6
529,Romelu,Lukaku,6
539,Emerson,Palmieri dos Santos,6
592,Saúl,Ñíguez,6
606,Marcus,Bettinelli,6
144,Conor,Gallagher,7
146,Vicente,Guaita,7
147,James,Tomkins,7
148,James,McArthur,7
149,Christian,Benteke,7
150,Cheikhou,Kouyaté,7
151,Martin,Kelly,7
152,Luka,Milivojevic,7
153,Jordan,Ayew,7
154,Wilfried,Zaha,7
155,Jeffrey,Schlupp,7
156,Jack,Butland,7
157,Jairo,Riedewald,7
158,Jarosław,Jach,7
159,Jean-Philippe,Mateta,7
160,Eberechi,Eze,7
161,Nathan,Ferguson,7
162,Tyrick,Mitchell,7
386,Will,Hughes,7
464,Michael,Olise,7
474,Joel,Ward,7
477,Marc,Guéhi,7
488,Joachim,Andersen,7
493,Nathaniel,Clyne,7
540,Reece,Hannam,7
541,Jesurun,Rak-Sakyi,7
542,Robert,Street,7
543,Scott,Banks,7
561,Remi,Matthews,7
586,Odsonne,Edouard,7
163,Fabian,Delph,8
164,Gylfi,Sigurdsson,8
165,Seamus,Coleman,8
166,James,Rodríguez,8
167,Bernard,Anício Caldeira Duarte,8
168,Lucas,Digne,8
169,Michael,Keane,8
170,Jordan,Pickford,8
171,Allan,Marques Loureiro,8
172,André Filipe,Tavares Gomes,8
173,Abdoulaye,Doucouré,8
174,Alex,Iwobi,8
175,Yerry,Mina,8
176,Tom,Davies,8
177,Dominic,Calvert-Lewin,8
178,Mason,Holgate,8
179,Ben,Godfrey,8
180,Richarlison,de Andrade,8
181,João,Virgínia,8
481,Asmir,Begović,8
482,Andros,Townsend,8
484,Demarai,Gray,8
502,Jonjoe,Kenny,8
503,Anthony,Gordon,8
504,Jean-Philippe,Gbamin,8
544,Jarrad,Branthwaite,8
545,Nathan,Broadhead,8
564,Moise,Kean,8
570,Niels,Nkounkou,8
571,Andy,Lonergan,8
591,Salomón,Rondón,8
602,Ellis,Simms,8
607,Lewis,Dobbin,8
613,Charlie,Whitaker,8
616,Harry,Tyrer,8
622,Cenk,Tosun,8
623,Reece,Welch,8
630,Tyler,Onyango,8
200,Kasper,Schmeichel,9
201,Jonny,Evans,9
202,Marc,Albrighton,9
203,Nampalys,Mendy,9
204,Danny,Ward,9
205,Jamie,Vardy,9
206,Dennis,Praet,9
207,Ricardo Domingos,Barbosa Pereira,9
208,Daniel,Amartey,9
209,Timothy,Castagne,9
210,Youri,Tielemans,9
211,Ayoze,Pérez,9
212,James,Maddison,9
213,Kelechi,Iheanacho,9
214,Hamza,Choudhury,9
215,Harvey,Barnes,9
216,Wilfred,Ndidi,9
217,Çaglar,Söyüncü,9
218,James,Justin,9
219,Luke,Thomas,9
220,Wesley,Fofana,9
340,Jannik,Vestergaard,9
455,Patson,Daka,9
458,Boubakary,Soumaré,9
473,Ryan,Bertrand,9
505,Kiernan,Dewsbury-Hall,9
573,Eldin,Jakupovic,9
587,Ademola,Lookman,9
639,Vontae,Daley-Campbell,9
645,Ben,Nelson,9
646,Lewis,Brunt,9
647,Kasey,McAteer,9
182,Pablo,Hernández Domínguez,10
183,Francisco,Casilla Cortés,10
184,Liam,Cooper,10
185,Luke,Ayling,10
186,Mateusz,Klich,10
187,Rodrigo,Moreno,10
188,Stuart,Dallas,10
189,Patrick,Bamford,10
190,Diego,Llorente,10
191,Kalvin,Phillips,10
192,Hélder Wander,Sousa de Azevedo e Costa,10
193,Tyler,Roberts,10
194,Robin,Koch,10
195,Ian Carlo,Poveda-Ocampo,10
196,Raphael,Dias Belloli,10
197,Jamie,Shackleton,10
198,Pascal,Struijk,10
199,Illan,Meslier,10
267,Jack,Harrison,10
287,Daniel,James,10
463,Héctor Junior,Firpo Adames,10
490,Kristoffer,Klaesson,10
550,Sam,Greenwood,10
551,Crysencio,Summerville,10
552,Adam,Forshaw,10
562,Cody,Drameh,10
563,Charlie,Cresswell,10
576,Liam,McCarron,10
577,Joe,Gelhardt,10
600,Nohan,Kenneh,10
601,Stuart,McKinstry,10
608,Leo Fuhr,Hjelde,10
624,Lewis,Bate,10
631,Jack,Jenkins,10
221,James,Milner,11
222,Jordan,Henderson,11
223,Adrián,San Miguel del Castillo,11
224,Joel,Matip,11
225,Thiago,Alcántara do Nascimento,11
226,Xherdan,Shaqiri,11
227,Alex,Oxlade-Chamberlain,11
228,Roberto,Firmino,11
229,Virgil,van Dijk,11
230,Sadio,Mané,11
231,Alisson,Ramses Becker,11
232,Fabio Henrique,Tavares,11
233,Mohamed,Salah,11
234,Andrew,Robertson,11
235,Divock,Origi,11
236,Takumi,Minamino,11
237,Trent,Alexander-Arnold,11
238,Joseph,Gomez,11
239,Naby,Keita,11
240,Diogo,Jota,11
241,Nathaniel,Phillips,11
242,Caoimhin,Kelleher,11
243,Ibrahima,Konaté,11
244,Curtis,Jones,11
245,Konstantinos,Tsimikas,11
246,Neco,Williams,11
247,Rhys,Williams,11
248,Ben,Davies,11
506,Harvey,Elliott,11
553,Ben,Woodburn,11
620,Tyler,Morton,11
625,Kaide,Gordon,11
626,Conor,Bradley,11
627,Owen,Beck,11
656,Marcelo,de Araújo Pitaluga Filho,11
33,Jack,Grealish,12
249,Kyle,Walker,12
250,Ilkay,Gündogan,12
251,Kevin,De Bruyne,12
252,John,Stones,12
253,Benjamin,Mendy,12
254,Riyad,Mahrez,12
255,Raheem,Sterling,12
256,João Pedro Cavaco,Cancelo,12
257,Ederson,Santana de Moraes,12
258,Nathan,Aké,12
259,Aymeric,Laporte,12
260,Zack,Steffen,12
261,Bernardo Mota,Veiga de Carvalho e Silva,12
